fp,threshold,tp
0,0.62,0
0,0.621,0
0,0.622,0
0,0.623,0
0,0.624,1
0,0.625,2
0,0.626,3
0,0.627,4
0,0.628,6
0,0.629,8
0,0.63,13
0,0.631,20
0,0.632,25
0,0.633,31
0,0.634,39
0,0.635,47
0,0.636,61
0,0.637,72
0,0.638,92
0,0.639,104
0,0.64,132
0,0.641,159
0,0.642,177
0,0.643,211
0,0.644,243
0,0.645,276
0,0.646,301
0,0.647,342
0,0.648,375
0,0.649,403
0,0.65,447
0,0.651,489
0,0.652,528
0,0.653,568
0,0.654,620
0,0.655,668
0,0.656,725
0,0.657,775
0,0.658,852
0,0.659,918
0,0.66,983
0,0.661,1064
0,0.662,1125
0,0.663,1201
0,0.664,1271
0,0.665,1355
0,0.666,1443
0,0.667,1504
0,0.668,1573
0,0.669,1642
0,0.67,1719
0,0.671,1785
0,0.672,1834
0,0.673,1894
0,0.674,1977
0,0.675,2021
0,0.676,2079
0,0.677,2132
0,0.678,2204
0,0.679,2257
0,0.68,2321
0,0.681,2383
0,0.682,2438
0,0.683,2499
0,0.684,2554
0,0.685,2604
0,0.686,2654
0,0.687,2720
0,0.6880000000000001,2766
0,0.6890000000000001,2806
0,0.6900000000000001,2856
0,0.6910000000000001,2896
0,0.6920000000000001,2930
0,0.6930000000000001,2966
0,0.6940000000000001,2999
0,0.6950000000000001,3024
0,0.6960000000000001,3059
0,0.6970000000000001,3083
0,0.6980000000000001,3109
0,0.6990000000000001,3136
0,0.7000000000000001,3162
0,0.7010000000000001,3188
0,0.7020000000000001,3213
0,0.7030000000000001,3235
0,0.7040000000000001,3262
0,0.7050000000000001,3289
0,0.7060000000000001,3313
0,0.7070000000000001,3338
0,0.7080000000000001,3375
0,0.7090000000000001,3403
0,0.7100000000000001,3423
0,0.7110000000000001,3452
0,0.7120000000000001,3483
1,0.7130000000000001,3516
1,0.7140000000000001,3550
2,0.7150000000000001,3585
7,0.7160000000000001,3629
12,0.7170000000000001,3679
16,0.7180000000000001,3730
21,0.7190000000000001,3781
24,0.7200000000000001,3841
33,0.7210000000000001,3906
36,0.7220000000000001,3976
40,0.7230000000000001,4051
44,0.7240000000000001,4124
53,0.7250000000000001,4202
64,0.7260000000000001,4307
76,0.7270000000000001,4391
